Date,Inflation rate,Exchange rate,Immigration,House price index,GDP,Interest rate,Close,Unemployment
2008-05-25,1.66384615384615,0.656153846153846,23.49230769230769,122.6,-4.24923076923077,3.13461538461538,6065.64013671875,6.69461538461539
2008-06-01,1.60153846153846,0.658461538461539,23.47692307692308,122.3,-3.7176923076923103,3.15384615384615,6105.8701171875,6.80384615384615
2008-06-08,1.53923076923077,0.660769230769231,23.461538461538463,122.16,-3.18615384615385,3.17307692307692,5806.83984375,6.91307692307692
2008-06-15,1.47692307692308,0.663076923076923,23.446153846153848,122.02,-2.65461538461538,3.19230769230769,5626.14990234375,7.02230769230769
2008-06-22,1.41461538461538,0.665384615384616,23.430769230769236,121.88,-2.12307692307692,3.21153846153846,5466.18017578125,7.13153846153846
2008-06-29,1.35230769230769,0.667692307692308,23.415384615384617,121.74,-1.59153846153846,3.23076923076923,5295.66015625,7.24076923076923
2008-07-06,1.29,0.67,23.4,121.6,-1.06,3.25,4863.22998046875,7.35
2008-07-13,1.27615384615385,0.676923076923077,23.384615384615383,121.275,-2.34307692307692,3.15384615384615,4414.7998046875,7.43846153846154
2008-07-20,1.26230769230769,0.683846153846154,23.369230769230768,120.95,-3.62615384615385,3.05769230769231,4894.47021484375,7.52692307692308
2008-07-27,1.24846153846154,0.690769230769231,23.353846153846156,120.625,-4.90923076923077,2.96153846153846,4876.14990234375,7.61538461538462
2008-08-03,1.23461538461538,0.697692307692308,23.338461538461537,120.3,-6.19230769230769,2.86538461538462,4089.69995117188,7.70384615384615
2008-08-10,1.22076923076923,0.704615384615385,23.32307692307692,120.0,-7.47538461538461,2.76923076923077,4513.06005859375,7.79230769230769
2008-08-17,1.20692307692308,0.711538461538462,23.307692307692307,119.7,-8.75846153846154,2.67307692307692,4606.6298828125,7.88076923076923
2008-08-24,1.19307692307692,0.718461538461539,23.29230769230769,119.4,-10.0415384615385,2.57692307692308,4359.97998046875,7.96923076923077
2008-08-31,1.17923076923077,0.725384615384615,23.27692307692308,119.1,-11.3246153846154,2.48076923076923,4494.919921875,8.05769230769231
2008-09-07,1.16538461538462,0.732307692307692,23.26153846153846,118.8,-12.6076923076923,2.38461538461538,4282.31982421875,8.14615384615385
2008-09-14,1.15153846153846,0.739230769230769,23.246153846153845,118.15,-13.8907692307692,2.28846153846154,4345.0,8.23461538461539
2008-09-21,1.13769230769231,0.746153846153846,23.23076923076923,117.5,-15.1738461538462,2.19230769230769,4136.31982421875,8.32307692307692
2008-09-28,1.12384615384615,0.753076923076923,23.21538461538461,116.85,-16.4569230769231,2.09615384615385,3784.77001953125,8.41153846153846
2008-10-05,1.11,0.76,23.2,116.2,-17.74,2.0,3943.65991210938,8.5
2008-10-12,1.03923076923077,0.760769230769231,23.184615384615384,115.675,-16.4423076923077,1.88461538461538,2871.25,8.67846153846154
2008-10-19,0.968461538461539,0.761538461538462,23.16923076923077,115.15,-15.1446153846154,1.76923076923077,2720.3798828125,8.85692307692308
2008-10-26,0.897692307692308,0.762307692307692,23.153846153846157,114.625,-13.8469230769231,1.65384615384615,2650.2099609375,9.03538461538462
2008-11-02,0.826923076923077,0.763076923076923,23.138461538461534,114.1,-12.5492307692308,1.53846153846154,3029.4599609375,9.21384615384615
2008-11-09,0.756153846153846,0.763846153846154,23.123076923076923,113.66,-11.2515384615385,1.42307692307692,2826.73999023438,9.39230769230769
2008-11-16,0.685384615384616,0.764615384615385,23.107692307692307,113.22,-9.95384615384615,1.30769230769231,2673.82006835938,9.57076923076923
2008-11-23,0.614615384615385,0.765384615384615,23.09230769230769,112.78,-8.65615384615385,1.19230769230769,2320.7099609375,9.74923076923077
2008-11-30,0.543846153846154,0.766153846153846,23.07692307692308,112.34,-7.35846153846154,1.07692307692308,2538.48999023438,9.92769230769231
2008-12-07,0.473076923076923,0.766923076923077,23.06153846153846,111.9,-6.06076923076923,0.961538461538462,2481.06005859375,10.1061538461538
2008-12-14,0.402307692307692,0.767692307692308,23.04615384615385,111.175,-4.76307692307692,0.846153846153846,2505.02001953125,10.2846153846154
2008-12-21,0.331538461538462,0.768461538461539,23.03076923076923,110.45,-3.46538461538462,0.730769230769231,2369.43994140625,10.4630769230769
2008-12-28,0.260769230769231,0.769230769230769,23.015384615384612,109.725,-2.16769230769231,0.615384615384615,2337.1201171875,10.6415384615385
2009-01-04,0.19,0.77,23.0,109.0,-0.87,0.5,2419.5,10.82
2009-01-11,0.0807692307692308,0.766923076923077,22.90192307692308,108.25,-0.910769230769231,0.480769230769231,2686.13989257813,10.9546153846154
2009-01-18,-0.0284615384615385,0.763846153846154,22.803846153846155,107.5,-0.951538461538462,0.461538461538462,2456.21997070313,11.0892307692308
2009-01-25,-0.137692307692308,0.760769230769231,22.70576923076923,106.75,-0.992307692307692,0.442307692307692,2278.03002929688,11.2238461538462
2009-02-01,-0.246923076923077,0.757692307692308,22.607692307692307,106.0,-1.03307692307692,0.423076923076923,2311.38989257813,11.3584615384615
2009-02-08,-0.356153846153846,0.754615384615385,22.509615384615383,105.3,-1.07384615384615,0.403846153846154,2462.68994140625,11.4930769230769
2009-02-15,-0.465384615384615,0.751538461538462,22.411538461538463,104.6,-1.11461538461538,0.384615384615385,2344.46997070313,11.6276923076923
2009-02-22,-0.574615384615385,0.748461538461539,22.31346153846154,103.9,-1.15538461538462,0.365384615384615,2076.55004882813,11.7623076923077
